name,categories,lat,lng
Wādeshwar,Indian Restaurant,18.548982286430597,73.90587512513854
Royal Orchid Central Hotel Pune,Motel,18.54623103859955,73.90646298332614
Baraza - Bars & Bites,Bar,18.556690232257925,73.89353074346283
Penthouze,Nightclub,18.53841400768269,73.90708927129296
Cream Craver,Vegetarian / Vegan Restaurant,18.521121878289538,73.87714020224023
Cafe Goa,Seafood Restaurant,18.561795,73.90721
Cafe Toons,Sports Bar,18.51627179552993,73.87887552615932
Venky's Chicken,Fast Food Restaurant,18.513503048807866,73.87976573679676
Dorabjee's,Supermarket,18.51911583551871,73.87685022743341
Touché The Sizzler (The Place),Steakhouse,18.51858264880105,73.87856485813023
JJ Garden Wada Pav,Food Truck,18.51401652652447,73.87553340192424
PVR bluO,Bowling Alley,18.56161425879978,73.91713313145287
EVVIVA Sky Lounge,Lounge,18.531412676928273,73.87670773171725
Blue Nile Restaurant,Indian Restaurant,18.52168432950116,73.87755259434938
Shizusan,Asian Restaurant,18.56172188024092,73.91677481250974
Chopsticks Spice Malabar,Southern / Soul Food Restaurant,18.565244525751083,73.91311556130246
Sheraton Grand Pune,Hotel,18.530105842924414,73.87137017215163
1 Lounge,Nightclub,18.536310223984735,73.9107692289812
Royal Western Indian Turf Club,Racetrack,18.507032688189817,73.89064087616383
multiFit Elite Fitness Training,Gym / Fitness Center,18.545825361398226,73.90664938384957
Rama Krishna,Indian Restaurant,18.518692898717,73.87848896977292
Abs Fitness & Wellness Club,Gym,18.51960456608613,73.87412652726975
Mughal's,Indian Restaurant,18.51569010232164,73.87961173532855
Natural Ice Cream,Ice Cream Shop,18.567612332430592,73.91774758728404
Sudama Bhel,Food Truck,18.559053078142703,73.89172608881557
Sante,Café,18.53754542041741,73.88883066515585
Marz O Rin,Café,18.51185910691139,73.88015591898002
Falahaar,Juice Bar,18.565389884597835,73.91815801138378
11 East Street Cafe,Bar,18.512403447489135,73.88031499121894
Hyatt Pune,Hotel,18.554247604517535,73.90469311452972
Main Street,Plaza,18.51622868793453,73.87881224203392
Le Méridien,Hotel,18.5300014,73.8713841
Inox,Movie Theater,18.52692776021287,73.87809068238184
Latitude,Multicuisine Indian Restaurant,18.538490441633385,73.88634530650525
Hira Ki Tapri [H.K.T],Tea Room,18.57392690191187,73.88519646285826
